brand,model,year,fuel_type,transmission,ex_showroom_price
Jeep,Compass,2019,Petrol,Automatic,2399000
Jeep,Compass,2019,Petrol,Manual,2099000
Jeep,Compass,2024,Diesel,Automatic,2787773
Jeep,Compass,2024,Diesel,Manual,2476657
Jeep,Compass,2024,Petrol,Automatic,2494436
Jeep,Compass,2024,Petrol,Manual,2175132
Jeep,Compass,2025,Diesel,Automatic,2945773
Jeep,Compass,2025,Diesel,Manual,2608562
Jeep,Compass,2025,Petrol,Automatic,2624049
Jeep,Compass,2025,Petrol,Manual,2325867
Jeep,Meridian,2020,Diesel,Automatic,3799000
Jeep,Meridian,2020,Diesel,Manual,3499000
Jeep,Meridian,2020,Petrol,Automatic,3499000
Jeep,Meridian,2020,Petrol,Manual,3199000
Jeep,Meridian,2024,Diesel,Automatic,3975294
Jeep,Meridian,2024,Diesel,Manual,3663126
Jeep,Meridian,2024,Petrol,Automatic,3654634
Jeep,Meridian,2024,Petrol,Manual,3298670
Jeep,Meridian,2025,Diesel,Automatic,4237281
Jeep,Meridian,2025,Diesel,Manual,3855551
Jeep,Meridian,2025,Petrol,Automatic,3895048
Jeep,Meridian,2025,Petrol,Manual,3471685
Kia,Carnival,2022,Diesel,Automatic,3299000
Kia,Carnival,2022,Petrol,Automatic,2999000
Kia,Carnival,2024,Diesel,Automatic,3413241
Kia,Carnival,2024,Petrol,Automatic,3121850
Kia,Carnival,2025,Diesel,Automatic,3643893
Kia,Carnival,2025,Petrol,Automatic,3312912
Kia,EV6,2022,Electric,Automatic,6099000
Kia,EV6,2024,Electric,Automatic,6333892
Kia,EV6,2025,Electric,Automatic,6728523
Kia,Seltos,2020,Diesel,Automatic,1699000
Kia,Seltos,2020,Diesel,Manual,1349000
Kia,Seltos,2020,Petrol,Automatic,1349000
Kia,Seltos,2020,Petrol,Manual,1149000
Kia,Seltos,2024,Diesel,Automatic,1775630
Kia,Seltos,2024,Diesel,Manual,1411433
Kia,Seltos,2024,Petrol,Automatic,1405114
Kia,Seltos,2024,Petrol,Manual,1206092
Kia,Seltos,2025,Diesel,Automatic,1877524
Kia,Seltos,2025,Diesel,Manual,1501657
Kia,Seltos,2025,Petrol,Automatic,1481274
Kia,Seltos,2025,Petrol,Manual,1280082
Kia,Sonet,2023,Diesel,Automatic,1449000
Kia,Sonet,2023,Diesel,Manual,1099000
Kia,Sonet,2023,Petrol,Automatic,1149000
Kia,Sonet,2023,Petrol,Manual,849900
Kia,Sonet,2024,Diesel,Automatic,1509877
Kia,Sonet,2024,Diesel,Manual,1137013
Kia,Sonet,2024,Petrol,Automatic,1201567
Kia,Sonet,2024,Petrol,Manual,875632
Kia,Sonet,2025,Diesel,Automatic,1602240
Kia,Sonet,2025,Diesel,Manual,1212882
Kia,Sonet,2025,Petrol,Automatic,1275960
Kia,Sonet,2025,Petrol,Manual,931862
MG,Astor,2023,Petrol,Automatic,1399000
MG,Astor,2023,Petrol,Manual,1099000
MG,Astor,2024,Petrol,Automatic,1456345
MG,Astor,2024,Petrol,Manual,1142599
MG,Astor,2025,Petrol,Automatic,1529337
MG,Astor,2025,Petrol,Manual,1201713
MG,Hector,2023,Diesel,Automatic,2099000
MG,Hector,2023,Diesel,Manual,1699000
MG,Hector,2023,Petrol,Automatic,1699000
MG,Hector,2023,Petrol,Manual,1499000
MG,Hector,2024,Diesel,Automatic,2171374
MG,Hector,2024,Diesel,Manual,1778094
MG,Hector,2024,Petrol,Automatic,1778083
MG,Hector,2024,Petrol,Manual,1544726
MG,Hector,2025,Diesel,Automatic,2286602
MG,Hector,2025,Diesel,Manual,1867096
MG,Hector,2025,Petrol,Automatic,1872183
MG,Hector,2025,Petrol,Manual,1641628
MG,Hector Plus,2021,Diesel,Manual,1899000
MG,Hector Plus,2021,Petrol,Automatic,1899000
MG,Hector Plus,2021,Petrol,Manual,1699000
MG,Hector Plus,2024,Diesel,Manual,1967581
MG,Hector Plus,2024,Petrol,Automatic,1982059
MG,Hector Plus,2024,Petrol,Manual,1765991
MG,Hector Plus,2025,Diesel,Manual,2097239
MG,Hector Plus,2025,Petrol,Automatic,2117378
MG,Hector Plus,2025,Petrol,Manual,1869950
MG,ZS EV,2022,Electric,Automatic,2399000
MG,ZS EV,2024,Electric,Automatic,2512826
MG,ZS EV,2025,Electric,Automatic,2672412
Mahindra,Bolero,2022,Diesel,Manual,1049900
Mahindra,Bolero,2022,Petrol,Manual,959900
Mahindra,Bolero,2024,Diesel,Manual,1090714
Mahindra,Bolero,2024,Petrol,Manual,1005491
Mahindra,Bolero,2025,Diesel,Manual,1154118
Mahindra,Bolero,2025,Petrol,Manual,1059448
Mahindra,Scorpio,2022,Diesel,Automatic,1949000
Mahindra,Scorpio,2022,Diesel,Manual,1499000
Mahindra,Scorpio,2022,Petrol,Manual,1399000
Mahindra,Scorpio,2024,Diesel,Automatic,2038518
Mahindra,Scorpio,2024,Diesel,Manual,1557942
Mahindra,Scorpio,2024,Petrol,Manual,1456731
Mahindra,Scorpio,2025,Diesel,Automatic,2166773
Mahindra,Scorpio,2025,Diesel,Manual,1647115
Mahindra,Scorpio,2025,Petrol,Manual,1534113
Mahindra,Thar,2023,Diesel,Automatic,1949000
Mahindra,Thar,2023,Diesel,Manual,1599000
Mahindra,Thar,2023,Petrol,Automatic,1649000
Mahindra,Thar,2023,Petrol,Manual,1349000
Mahindra,Thar,2024,Diesel,Automatic,2021570
Mahindra,Thar,2024,Diesel,Manual,1663516
Mahindra,Thar,2024,Petrol,Automatic,1728296
Mahindra,Thar,2024,Petrol,Manual,1404406
Mahindra,Thar,2025,Diesel,Automatic,2148129
Mahindra,Thar,2025,Diesel,Manual,1777816
Mahindra,Thar,2025,Petrol,Automatic,1829263
Mahindra,Thar,2025,Petrol,Manual,1493956
Mahindra,XUV700,2019,Diesel,Automatic,2299000
Mahindra,XUV700,2019,Diesel,Manual,1699000
Mahindra,XUV700,2019,Petrol,Automatic,1999000
Mahindra,XUV700,2019,Petrol,Manual,1399000
Mahindra,XUV700,2024,Diesel,Automatic,2395291
Mahindra,XUV700,2024,Diesel,Manual,1758091
Mahindra,XUV700,2024,Petrol,Automatic,2069207
Mahindra,XUV700,2024,Petrol,Manual,1441440
Mahindra,XUV700,2025,Diesel,Automatic,2559337
Mahindra,XUV700,2025,Diesel,Manual,1877349
Mahindra,XUV700,2025,Petrol,Automatic,2198557
Mahindra,XUV700,2025,Petrol,Manual,1540219
Maruti Suzuki,Baleno,2023,Petrol,Automatic,874900
Maruti Suzuki,Baleno,2023,Petrol,Manual,666900
Maruti Suzuki,Baleno,2024,Petrol,Automatic,909931
Maruti Suzuki,Baleno,2024,Petrol,Manual,697520
Maruti Suzuki,Baleno,2025,Petrol,Automatic,966129
Maruti Suzuki,Baleno,2025,Petrol,Manual,739706
Maruti Suzuki,Dzire,2021,Diesel,Manual,789900
Maruti Suzuki,Dzire,2021,Petrol,Automatic,795900
Maruti Suzuki,Dzire,2021,Petrol,Manual,615900
Maruti Suzuki,Dzire,2024,Diesel,Manual,813991
Maruti Suzuki,Dzire,2024,Petrol,Automatic,834444
Maruti Suzuki,Dzire,2024,Petrol,Manual,646119
Maruti Suzuki,Dzire,2025,Diesel,Manual,863947
Maruti Suzuki,Dzire,2025,Petrol,Automatic,888425
Maruti Suzuki,Dzire,2025,Petrol,Manual,680813
Maruti Suzuki,Ertiga,2023,Petrol,Automatic,1189900
Maruti Suzuki,Ertiga,2023,Petrol,Manual,859900
Maruti Suzuki,Ertiga,2024,Petrol,Automatic,1230939
Maruti Suzuki,Ertiga,2024,Petrol,Manual,895454
Maruti Suzuki,Ertiga,2025,Petrol,Automatic,1300135
Maruti Suzuki,Ertiga,2025,Petrol,Manual,951974
Maruti Suzuki,Swift,2022,Diesel,Manual,829900
Maruti Suzuki,Swift,2022,Petrol,Automatic,819900
Maruti Suzuki,Swift,2022,Petrol,Manual,599900
Maruti Suzuki,Swift,2024,Diesel,Manual,864919
Maruti Suzuki,Swift,2024,Petrol,Automatic,857324
Maruti Suzuki,Swift,2024,Petrol,Manual,621021
Maruti Suzuki,Swift,2025,Diesel,Manual,912871
Maruti Suzuki,Swift,2025,Petrol,Automatic,913477
Maruti Suzuki,Swift,2025,Petrol,Manual,660048
Maruti Suzuki,Vitara Brezza,2023,Petrol,Automatic,1119900
Maruti Suzuki,Vitara Brezza,2023,Petrol,Manual,799900
Maruti Suzuki,Vitara Brezza,2024,Petrol,Automatic,1160052
Maruti Suzuki,Vitara Brezza,2024,Petrol,Manual,830021
Maruti Suzuki,Vitara Brezza,2025,Petrol,Automatic,1239810
Maruti Suzuki,Vitara Brezza,2025,Petrol,Manual,882485
Maruti Suzuki,XL6,2020,Petrol,Automatic,1399900
Maruti Suzuki,XL6,2020,Petrol,Manual,1199900
Maruti Suzuki,XL6,2024,Petrol,Automatic,1458164
Maruti Suzuki,XL6,2024,Petrol,Manual,1258133
Maruti Suzuki,XL6,2025,Petrol,Automatic,1549342
Maruti Suzuki,XL6,2025,Petrol,Manual,1333135
Nissan,Magnite,2022,Petrol,Automatic,899900
Nissan,Magnite,2022,Petrol,Manual,599900
Nissan,Magnite,2022,Turbo,Automatic,1299000
Nissan,Magnite,2022,Turbo,Manual,979900
Nissan,Magnite,2024,Petrol,Automatic,936770
Nissan,Magnite,2024,Petrol,Manual,628760
Nissan,Magnite,2024,Turbo,Automatic,1347703
Nissan,Magnite,2024,Turbo,Manual,1016253
Nissan,Magnite,2025,Petrol,Automatic,985842
Nissan,Magnite,2025,Petrol,Manual,664888
Nissan,Magnite,2025,Turbo,Automatic,1417985
Nissan,Magnite,2025,Turbo,Manual,1073781
Renault,Duster,2021,Diesel,Manual,1249900
Renault,Duster,2021,Petrol,Automatic,1249900
Renault,Duster,2021,Petrol,Manual,1049900
Renault,Duster,2024,Diesel,Manual,1307588
Renault,Duster,2024,Petrol,Automatic,1307266
Renault,Duster,2024,Petrol,Manual,1082633
Renault,Duster,2025,Diesel,Manual,1388293
Renault,Duster,2025,Petrol,Automatic,1386942
Renault,Duster,2025,Petrol,Manual,1141755
Renault,Kiger,2022,Petrol,Automatic,999900
Renault,Kiger,2022,Petrol,Manual,599900
Renault,Kiger,2022,Turbo,Manual,1049900
Renault,Kiger,2024,Petrol,Automatic,1042012
Renault,Kiger,2024,Petrol,Manual,624766
Renault,Kiger,2024,Turbo,Manual,1089490
Renault,Kiger,2025,Petrol,Automatic,1097716
Renault,Kiger,2025,Petrol,Manual,657781
Renault,Kiger,2025,Turbo,Manual,1161527
Renault,Kwid,2019,Petrol,Automatic,599900
Renault,Kwid,2019,Petrol,Manual,449900
Renault,Kwid,2024,Petrol,Automatic,622759
Renault,Kwid,2024,Petrol,Manual,465337
Renault,Kwid,2025,Petrol,Automatic,662460
Renault,Kwid,2025,Petrol,Manual,494257
Skoda,Kushaq,2020,Petrol,Automatic,1899000
Skoda,Kushaq,2020,Petrol,Manual,1249900
Skoda,Kushaq,2024,Petrol,Automatic,1972983
Skoda,Kushaq,2024,Petrol,Manual,1311235
Skoda,Kushaq,2025,Petrol,Automatic,2085391
Skoda,Kushaq,2025,Petrol,Manual,1396304
Skoda,Rapid,2022,Diesel,Manual,1149900
Skoda,Rapid,2022,Petrol,Automatic,1149900
Skoda,Rapid,2022,Petrol,Manual,849900
Skoda,Rapid,2024,Diesel,Manual,1185065
Skoda,Rapid,2024,Petrol,Automatic,1206540
Skoda,Rapid,2024,Petrol,Manual,875939
Skoda,Rapid,2025,Diesel,Manual,1255867
Skoda,Rapid,2025,Petrol,Automatic,1288677
Skoda,Rapid,2025,Petrol,Manual,936659
Tata,Altroz,2023,Diesel,Manual,859900
Tata,Altroz,2023,Petrol,Automatic,939900
Tata,Altroz,2023,Petrol,Manual,629900
Tata,Altroz,2024,Diesel,Manual,888487
Tata,Altroz,2024,Petrol,Automatic,978579
Tata,Altroz,2024,Petrol,Manual,653801
Tata,Altroz,2025,Diesel,Manual,938019
Tata,Altroz,2025,Petrol,Automatic,1028136
Tata,Altroz,2025,Petrol,Manual,692000
Tata,Harrier,2020,Diesel,Automatic,2249900
Tata,Harrier,2020,Diesel,Manual,1799000
Tata,Harrier,2020,Petrol,Manual,1599000
Tata,Harrier,2024,Diesel,Automatic,2353010
Tata,Harrier,2024,Diesel,Manual,1872801
Tata,Harrier,2024,Petrol,Manual,1658988
Tata,Harrier,2025,Diesel,Automatic,2494206
Tata,Harrier,2025,Diesel,Manual,1985305
Tata,Harrier,2025,Petrol,Manual,1774281
Tata,Nexon,2023,Electric,Automatic,1499900
Tata,Nexon,2023,Petrol,Automatic,1149900
Tata,Nexon,2023,Petrol,Automatic,1149900
Tata,Nexon,2023,Petrol,Manual,799900
Tata,Nexon,2024,Electric,Automatic,1547259
Tata,Nexon,2024,Petrol,Automatic,1193836
Tata,Nexon,2024,Petrol,Manual,827137
Tata,Nexon,2025,Electric,Automatic,1635017
Tata,Nexon,2025,Petrol,Automatic,1253624
Tata,Nexon,2025,Petrol,Manual,877085
Tata,Punch,2020,CNG,Manual,749900
Tata,Punch,2020,Petrol,Automatic,759900
Tata,Punch,2020,Petrol,Manual,609900
Tata,Punch,2024,CNG,Manual,784296
Tata,Punch,2024,Petrol,Automatic,797021
Tata,Punch,2024,Petrol,Manual,633007
Tata,Punch,2025,CNG,Manual,828314
Tata,Punch,2025,Petrol,Automatic,841237
Tata,Punch,2025,Petrol,Manual,669993
Tata,Safari,2022,Diesel,Automatic,2499900
Tata,Safari,2022,Diesel,Manual,1999000
Tata,Safari,2022,Petrol,Manual,1699000
Tata,Safari,2024,Diesel,Automatic,2575286
Tata,Safari,2024,Diesel,Manual,2081480
Tata,Safari,2024,Petrol,Manual,1761658
Tata,Safari,2025,Diesel,Automatic,2746943
Tata,Safari,2025,Diesel,Manual,2195530
Tata,Safari,2025,Petrol,Manual,1859697
Toyota,Fortuner,2021,Diesel,Automatic,3799000
Toyota,Fortuner,2021,Diesel,Manual,3499000
Toyota,Fortuner,2021,Petrol,Automatic,3499000
Toyota,Fortuner,2021,Petrol,Manual,3299000
Toyota,Fortuner,2024,Diesel,Automatic,3961885
Toyota,Fortuner,2024,Diesel,Manual,3653358
Toyota,Fortuner,2024,Petrol,Automatic,3657777
Toyota,Fortuner,2024,Petrol,Manual,3436278
Toyota,Fortuner,2025,Diesel,Automatic,4187203
Toyota,Fortuner,2025,Diesel,Manual,3846081
Toyota,Fortuner,2025,Petrol,Automatic,3891893
Toyota,Fortuner,2025,Petrol,Manual,3660927
Toyota,Glanza,2021,Petrol,Automatic,869900
Toyota,Glanza,2021,Petrol,Manual,669900
Toyota,Glanza,2024,Petrol,Automatic,904692
Toyota,Glanza,2024,Petrol,Manual,693203
Toyota,Glanza,2025,Petrol,Automatic,963009
Toyota,Glanza,2025,Petrol,Manual,732486
Toyota,Innova Crysta,2019,Diesel,Automatic,2299000
Toyota,Innova Crysta,2019,Diesel,Manual,1999000
Toyota,Innova Crysta,2019,Petrol,Automatic,2099000
Toyota,Innova Crysta,2019,Petrol,Manual,1799000
Toyota,Innova Crysta,2024,Diesel,Automatic,2394672
Toyota,Innova Crysta,2024,Diesel,Manual,2063255
Toyota,Innova Crysta,2024,Petrol,Automatic,2195637
Toyota,Innova Crysta,2024,Petrol,Manual,1865865
Toyota,Innova Crysta,2025,Diesel,Automatic,2555230
Toyota,Innova Crysta,2025,Diesel,Manual,2197087
Toyota,Innova Crysta,2025,Petrol,Automatic,2316612
Toyota,Innova Crysta,2025,Petrol,Manual,1986125
Toyota,Urban Cruiser,2020,Petrol,Automatic,1299000
Toyota,Urban Cruiser,2020,Petrol,Manual,999900
Toyota,Urban Cruiser,2024,Petrol,Automatic,1352703
Toyota,Urban Cruiser,2024,Petrol,Manual,1035635
Toyota,Urban Cruiser,2025,Petrol,Automatic,1424646
Toyota,Urban Cruiser,2025,Petrol,Manual,1096412
Volkswagen,Polo,2022,Petrol,Automatic,999900
Volkswagen,Polo,2022,Petrol,Manual,749900
Volkswagen,Polo,2024,Petrol,Automatic,1043359
Volkswagen,Polo,2024,Petrol,Manual,786758
Volkswagen,Polo,2025,Petrol,Automatic,1103208
Volkswagen,Polo,2025,Petrol,Manual,834988
Volkswagen,Taigun,2019,Petrol,Automatic,1699000
Volkswagen,Taigun,2019,Petrol,Manual,1249900
Volkswagen,Taigun,2024,Petrol,Automatic,1762971
Volkswagen,Taigun,2024,Petrol,Manual,1299215
Volkswagen,Taigun,2025,Petrol,Automatic,1859719
Volkswagen,Taigun,2025,Petrol,Manual,1365424
Volkswagen,Vento,2020,Diesel,Manual,1399000
Volkswagen,Vento,2020,Petrol,Automatic,1399000
Volkswagen,Vento,2020,Petrol,Manual,1099000
Volkswagen,Vento,2024,Diesel,Manual,1449419
Volkswagen,Vento,2024,Petrol,Automatic,1455337
Volkswagen,Vento,2024,Petrol,Manual,1150592
Volkswagen,Vento,2025,Diesel,Manual,1548935
Volkswagen,Vento,2025,Petrol,Automatic,1539347
Volkswagen,Vento,2025,Petrol,Manual,1213822
